Date,Power_Usage
2022-01-01,2379
2022-01-02,2480
2022-01-03,2350
2022-01-04,1841
2022-01-05,2462
2022-01-06,2521
2022-01-07,2586
2022-01-08,2544
2022-01-09,2425
2022-01-10,2213
2022-01-11,2233
2022-01-12,2467
2022-01-13,2637
2022-01-14,2547
2022-01-15,2722
2022-01-16,2670
2022-01-17,2390
2022-01-18,2123
2022-01-19,2443
2022-01-20,2604
2022-01-21,2712
2022-01-22,2830
2022-01-23,2564
2022-01-24,2234
2022-01-25,2520
2022-01-26,2455
2022-01-27,2699
2022-01-28,2765
2022-01-29,2653
2022-01-30,2812
2022-01-31,2230
2022-02-01,2478
2022-02-02,2661
2022-02-03,2568
2022-02-04,2802
2022-02-05,2689
2022-02-06,2681
2022-02-07,2350
2022-02-08,2474
2022-02-09,2656
2022-02-10,2655
2022-02-11,2747
2022-02-12,2762
2022-02-13,2810
2022-02-14,2392
2022-02-15,2436
2022-02-16,2722
2022-02-17,2720
2022-02-18,2843
2022-02-19,2921
2022-02-20,2758
2022-02-21,2484
2022-02-22,2762
2022-02-23,2715
2022-02-24,2765
2022-02-25,2975
2022-02-26,3021
2022-02-27,2810
2022-02-28,2459
2022-03-01,2429
2022-03-02,2910
2022-03-03,2963
2022-03-04,2835
2022-03-05,2865
2022-03-06,2832
2022-03-07,2571
2022-03-08,2733
2022-03-09,2769
2022-03-10,2847
2022-03-11,2888
2022-03-12,2983
2022-03-13,2952
2022-03-14,2698
2022-03-15,2688
2022-03-16,2838
2022-03-17,2856
2022-03-18,3024
2022-03-19,2873
2022-03-20,2658
2022-03-21,2321
2022-03-22,2719
2022-03-23,2895
2022-03-24,2871
2022-03-25,2832
2022-03-26,2977
2022-03-27,2805
2022-03-28,2512
2022-03-29,2570
2022-03-30,2929
2022-03-31,2883
2022-04-01,2845
2022-04-02,2061
2022-04-03,2007
2022-04-04,2441
2022-04-05,2625
2022-04-06,2977
2022-04-07,3064
2022-04-08,2777
2022-04-09,2712
2022-04-10,2892
2022-04-11,2579
2022-04-12,2658
2022-04-13,2921
2022-04-14,2932
2022-04-15,2740
2022-04-16,2599
2022-04-17,2936
2022-04-18,2563
2022-04-19,2680
2022-04-20,2858
2022-04-21,2997
2022-04-22,2945
2022-04-23,2823
2022-04-24,2900
2022-04-25,2534
2022-04-26,2620
2022-04-27,2918
2022-04-28,2939
2022-04-29,2694
2022-04-30,2808
2022-05-01,2803
2022-05-02,2456
2022-05-03,2629
2022-05-04,2733
2022-05-05,2745
2022-05-06,2814
2022-05-07,2885
2022-05-08,2913
2022-05-09,2586
2022-05-10,2457
2022-05-11,2583
2022-05-12,2893
2022-05-13,2693
2022-05-14,2679
2022-05-15,2833
2022-05-16,2399
2022-05-17,2522
2022-05-18,2821
2022-05-19,2933
2022-05-20,2755
2022-05-21,2832
2022-05-22,2881
2022-05-23,2604
2022-05-24,2383
2022-05-25,2831
2022-05-26,2676
2022-05-27,2770
2022-05-28,2831
2022-05-29,2754
2022-05-30,2162
2022-05-31,2423
2022-06-01,2678
2022-06-02,2908
2022-06-03,2551
2022-06-04,2887
2022-06-05,2762
2022-06-06,2326
2022-06-07,2249
2022-06-08,2604
2022-06-09,2627
2022-06-10,2595
2022-06-11,2433
2022-06-12,2707
2022-06-13,2337
2022-06-14,2429
2022-06-15,2623
2022-06-16,2688
2022-06-17,2473
2022-06-18,2505
2022-06-19,2722
2022-06-20,2330
2022-06-21,2247
2022-06-22,2578
2022-06-23,2374
2022-06-24,2322
2022-06-25,2806
2022-06-26,2598
2022-06-27,2273
2022-06-28,2235
2022-06-29,2556
2022-06-30,2503
2022-07-01,2518
2022-07-02,1667
2022-07-03,1781
2022-07-04,1500
2022-07-05,2097
2022-07-06,2375
2022-07-07,2424
2022-07-08,2522
2022-07-09,2462
2022-07-10,2510
2022-07-11,2341
2022-07-12,1931
2022-07-13,2503
2022-07-14,2435
2022-07-15,2374
2022-07-16,2332
2022-07-17,2450
2022-07-18,2089
2022-07-19,2095
2022-07-20,2470
2022-07-21,2488
2022-07-22,2238
2022-07-23,2417
2022-07-24,2339
2022-07-25,1859
2022-07-26,2192
2022-07-27,2180
2022-07-28,2531
2022-07-29,2230
2022-07-30,2416
2022-07-31,2345
2022-08-01,2150
2022-08-02,1958
2022-08-03,2228
2022-08-04,2136
2022-08-05,2349
2022-08-06,2240
2022-08-07,2396
2022-08-08,1884
2022-08-09,1898
2022-08-10,2117
2022-08-11,2255
2022-08-12,2220
2022-08-13,2283
2022-08-14,1983
2022-08-15,1953
2022-08-16,1953
2022-08-17,2388
2022-08-18,2141
2022-08-19,2009
2022-08-20,2248
2022-08-21,2070
2022-08-22,2029
2022-08-23,1756
2022-08-24,2242
2022-08-25,1804
2022-08-26,2167
2022-08-27,2136
2022-08-28,2023
2022-08-29,1932
2022-08-30,1738
2022-08-31,2061
2022-09-01,2091
2022-09-02,2184
2022-09-03,2177
2022-09-04,2267
2022-09-05,1836
2022-09-06,1950
2022-09-07,2098
2022-09-08,1958
2022-09-09,2190
2022-09-10,2174
2022-09-11,2104
2022-09-12,1689
2022-09-13,1822
2022-09-14,2141
2022-09-15,1971
2022-09-16,1978
2022-09-17,2255
2022-09-18,2115
2022-09-19,1840
2022-09-20,1724
2022-09-21,2133
2022-09-22,2272
2022-09-23,1970
2022-09-24,2142
2022-09-25,2089
2022-09-26,1640
2022-09-27,1768
2022-09-28,2107
2022-09-29,2154
2022-09-30,2174
2022-10-01,1500
2022-10-02,1500
2022-10-03,1868
2022-10-04,1767
2022-10-05,2041
2022-10-06,2107
2022-10-07,2267
2022-10-08,1951
2022-10-09,2058
2022-10-10,1726
2022-10-11,1968
2022-10-12,1915
2022-10-13,2024
2022-10-14,2024
2022-10-15,2176
2022-10-16,2204
2022-10-17,2032
2022-10-18,1789
2022-10-19,2057
2022-10-20,1994
2022-10-21,2241
2022-10-22,2164
2022-10-23,2085
2022-10-24,1711
2022-10-25,1886
2022-10-26,2133
2022-10-27,2171
2022-10-28,2174
2022-10-29,2126
2022-10-30,2024
2022-10-31,1696
2022-11-01,1893
2022-11-02,2274
2022-11-03,2093
2022-11-04,2156
2022-11-05,2185
2022-11-06,2170
2022-11-07,1873
2022-11-08,1760
2022-11-09,2265
2022-11-10,2219
2022-11-11,2114
2022-11-12,2269
2022-11-13,2187
2022-11-14,1974
2022-11-15,1920
2022-11-16,2306
2022-11-17,2126
2022-11-18,2281
2022-11-19,2159
2022-11-20,2155
2022-11-21,2048
2022-11-22,1897
2022-11-23,2211
2022-11-24,2275
2022-11-25,2276
2022-11-26,2281
2022-11-27,2263
2022-11-28,2071
2022-11-29,1839
2022-11-30,2353
2022-12-01,2298
2022-12-02,2266
2022-12-03,2411
2022-12-04,2299
2022-12-05,2214
2022-12-06,2031
2022-12-07,2241
2022-12-08,2340
2022-12-09,2282
2022-12-10,2302
2022-12-11,2362
2022-12-12,2160
2022-12-13,1882
2022-12-14,2554
2022-12-15,2339
2022-12-16,2508
2022-12-17,2520
2022-12-18,2463
2022-12-19,1903
2022-12-20,2040
2022-12-21,2428
2022-12-22,2494
2022-12-23,2316
2022-12-24,2451
2022-12-25,2380
2022-12-26,2150
2022-12-27,2245
2022-12-28,2390
2022-12-29,2353
2022-12-30,2361
2022-12-31,2527
2023-01-01,1735
2023-01-02,1500
2023-01-03,2206
2023-01-04,2429
2023-01-05,2668
2023-01-06,2547
2023-01-07,2530
2023-01-08,2370
2023-01-09,2454
2023-01-10,2285
2023-01-11,2507
2023-01-12,2614
2023-01-13,2429
2023-01-14,2759
2023-01-15,2644
2023-01-16,2239
2023-01-17,2350
2023-01-18,2702
2023-01-19,2802
2023-01-20,2687
2023-01-21,2518
2023-01-22,2508
2023-01-23,2369
2023-01-24,2385
2023-01-25,2775
2023-01-26,2621
2023-01-27,2601
2023-01-28,2701
2023-01-29,2814
2023-01-30,2502
2023-01-31,2591
2023-02-01,2643
2023-02-02,2841
2023-02-03,2553
2023-02-04,2678
2023-02-05,2674
2023-02-06,2417
2023-02-07,2469
2023-02-08,2799
2023-02-09,2636
2023-02-10,2814
2023-02-11,2675
2023-02-12,2818
2023-02-13,2435
2023-02-14,2400
2023-02-15,2735
2023-02-16,2714
2023-02-17,2744
2023-02-18,2847
2023-02-19,2720
2023-02-20,2461
2023-02-21,2422
2023-02-22,2767
2023-02-23,2915
2023-02-24,2860
2023-02-25,2878
2023-02-26,2763
2023-02-27,2555
2023-02-28,2578
2023-03-01,3006
2023-03-02,2872
2023-03-03,2680
2023-03-04,2844
2023-03-05,3000
2023-03-06,2417
2023-03-07,2483
2023-03-08,2966
2023-03-09,3018
2023-03-10,2944
2023-03-11,2858
2023-03-12,3057
2023-03-13,2496
2023-03-14,2403
2023-03-15,2787
2023-03-16,2854
2023-03-17,2841
2023-03-18,3015
2023-03-19,2781
2023-03-20,2726
2023-03-21,2597
2023-03-22,2763
2023-03-23,2777
2023-03-24,2756
2023-03-25,3059
2023-03-26,3001
2023-03-27,2602
2023-03-28,2652
2023-03-29,2894
2023-03-30,2879
2023-03-31,2817
2023-04-01,2822
2023-04-02,3031
2023-04-03,1916
2023-04-04,1917
2023-04-05,2822
2023-04-06,3051
2023-04-07,3000
2023-04-08,2772
2023-04-09,3050
2023-04-10,2561
2023-04-11,2442
2023-04-12,2983
2023-04-13,2846
2023-04-14,2995
2023-04-15,2881
2023-04-16,2773
2023-04-17,2765
2023-04-18,2802
2023-04-19,2922
2023-04-20,2975
2023-04-21,2797
2023-04-22,2808
2023-04-23,3051
2023-04-24,2625
2023-04-25,2584
2023-04-26,2904
2023-04-27,2681
2023-04-28,2750
2023-04-29,2994
2023-04-30,2867
2023-05-01,2589
2023-05-02,2556
2023-05-03,2946
2023-05-04,2955
2023-05-05,2746
2023-05-06,2796
2023-05-07,2862
2023-05-08,2460
2023-05-09,2552
2023-05-10,2862
2023-05-11,2877
2023-05-12,2737
2023-05-13,2772
2023-05-14,2860
2023-05-15,2698
2023-05-16,2532
2023-05-17,2993
2023-05-18,2753
2023-05-19,2730
2023-05-20,2718
2023-05-21,2822
2023-05-22,2441
2023-05-23,2523
2023-05-24,2799
2023-05-25,2732
2023-05-26,2750
2023-05-27,2737
2023-05-28,2752
2023-05-29,2416
2023-05-30,2256
2023-05-31,2682
2023-06-01,2782
2023-06-02,2800
2023-06-03,2497
2023-06-04,2677
2023-06-05,2159
2023-06-06,2387
2023-06-07,2598
2023-06-08,2790
2023-06-09,2497
2023-06-10,2622
2023-06-11,2752
2023-06-12,2496
2023-06-13,2327
2023-06-14,2736
2023-06-15,2611
2023-06-16,2570
2023-06-17,2652
2023-06-18,2628
2023-06-19,2208
2023-06-20,2437
2023-06-21,2659
2023-06-22,2576
2023-06-23,2643
2023-06-24,2367
2023-06-25,2626
2023-06-26,2299
2023-06-27,2264
2023-06-28,2621
2023-06-29,2553
2023-06-30,2326
2023-07-01,2461
2023-07-02,2395
